WORD	IMAG
hair	580
hairpin	569
hale	376
half	458
hall	559
halt	417
halter	453
halve	425
ham	570
hamlet	565
hammer	618
hamster	581
hand	598
handful	490
handkerchief	583
handmaid	397
hang	537
hank	313
haphazard	344
happily	410
happiness	519
happy	511
harbor	579
harbour	597
hard	460
hardly	256
hardship	427
hardware	576
hardwood	557
hare	577
harem	523
harm	362
harmony	423
harness	513
harp	621
harpoon	531
harpsichord	537
harsh	379
harvest	562
has	271
haste	416
hasty	380
hat	562
hatchet	527
hate	462
hatred	417
haul	406
have	271
havoc	505
hawk	591
hay	597
hazard	394
haze	521
he	452
head	593
headquarters	499
headstrong	393
heal	438
health	432
heap	494
hear	425
hearing	401
heart	617
heartless	373
heat	507
heaven	448
heavy	495
hectic	390
hedge	583
heel	597
height	472
heir	394
hell	519
helmet	620
help	464
helpful	346
hen	597
henchman	447
her	464
herb	502
herd	548
herdsman	500
here	278
heredity	383
heresy	329
hermit	537
hero	483
heroin	551
heroism	432
herring	524
hesitant	368
hesitate	354
hesitation	332
hexagon	527
hidden	354
hide	430
hierarchy	435
high	463
higher	464
highway	581
hill	607
him	421
himself	317
hind	424
hindrance	347
hint	343
his	337
history	405
hive	554
hoarse	403
hobby	494
hockey	593
hoe	525
hog	527
hold	416
hole	527
holiday	629
hollow	478
home	599
homicide	432
honest	366
honesty	386
honey	608
honeycomb	593
honeymoon	563
honour	363
hood	558
hoof	598
hook	541
hop	554
hope	421
horizontal	521
horn	566
horror	545
horse	624
horsehair	549
hose	572
hospital	602
hostage	536
hostile	460
hostility	437
hot	551
hotel	597
hound	596
hour	408
house	606
household	502
how	230
however	247
howl	536
howler	353
hue	399
human	543
humane	383
humanity	442
humankind	426
humble	377
humiliation	352
humming	453
humorous	441
humour	462
hump	515
hunger	526
hungry	503
hunt	527
hunter	564
hurdle	600
hurled	441
hurricane	608
hurt	465
husband	537
hush	467
hut	560
huzza	156
hybrid	370
hygiene	459
hymn	431
hypnotic	367
hypothesis	315
hyssop	212
i	465
ice	635
icicle	526
idea	319
ideal	331
idealistic	366
identification	345
idiom	341
idle	444
idleness	332
if	228
ignition	466
ignorance	386
ignore	400
illiteracy	348
illusion	396
imagination	407
imaginative	383
imitate	436
imitator	383
immature	439
immense	436
immensity	402
immortality	348
immunity	367
impact	456
impartial	305
impatience	413
impediment	348
imperfection	391
impersonation	375
impetuous	329
impetus	272
import	361
importance	347
important	341
impossibility	347
impossible	302
impotency	403
impression	313
imprint	332
impropriety	280
improve	307
improvement	332
impudent	334
impulse	396
impulsive	376
impunity	183
in	334
inaccurate	290
inaction	270
inadequate	356
inanimate	348
inanity	250
inauguration	324
incantation	318
incapable	337
incense	555
inch	497
incident	344
incise	371
inclemency	344
incline	429
income	475
incompetent	359
incongruity	210
incorrect	356
increase	356
incredulity	297
increment	313
incursion	164
indecisive	327
independence	440
independent	361
indian	580
indication	340
indifferent	290
indigenous	264
indiscretion	305
individual	440
indolence	227
induce	300
inducement	336
indulgent	317
industrious	404
industry	499
inebriety	383
inefficiency	316
inexperience	305
infallibility	275
infant	600
infantile	422
infantry	483
infection	487
inferior	379
inferno	572
infinite	401
infinity	469
infirmary	546
influence	270
information	364
infringement	278
ingratitude	336
inhabitant	431
inhale	461
inhibition	383
initiation	370
initiative	298
injury	551
ink	589
inn	578
innate	301
innocence	383
inoculation	513
inquiry	321
inquisitive	354
insect	586
insecure	373
inside	371
insight	329
insincere	337
insistence	324
insolence	407
insolent	357
inspired	348
instance	250
instinct	358
institute	485
institution	449
instructor	551
instrument	521
insufficiency	253
insult	477
insurance	365
integrity	379
intellect	336
intelligence	383
intemperance	262
intense	340
intention	286
interest	359
interesting	359
interim	261
interior	424
intermission	402
interposition	202
interruption	359
interview	499
intimate	495
intimation	345
into	259
intoxication	570
introduction	356
introductory	281
invader	419
invention	408
investigation	397
invitation	513
invoice	510
involved	363
iodine	508
ion	348
iota	322
iris	606
iron	561
irony	293
irregularity	353
irresistible	441
irrigation	456
irritable	378
irritation	448
is	230
island	643
islander	497
isle	520
issue	315
it	265
itch	486
item	369
its	229
ivory	529
ivy	551
jack	460
jacket	611
jade	459
jagged	512
jail	608
jam	569
jamb	276
jangle	392
janitor	508
jar	571
jargon	386
jaw	573
jealous	446
jealousy	475
jeep	659
jeer	430
jelly	590
jeopardy	344
jerid	228
jerk	479
jersey	572
jet	585
jewel	621
jibe	314
jingle	497
jitterbug	473
job	470
jobber	226
jockey	606
jog	504
join	340
joke	483
jolt	426
journal	509
joviality	513
joy	533
joyful	473
jubilant	470
judge	558
judgement	333
judicious	324
juggler	553
juice	593
jump	506
junction	502
jungle	555
junior	391
jupon	240
jury	580
just	221
justice	379
justification	326
justify	336
kabob	430
kale	391
keel	451
keen	335
keep	284
keeper	421
keg	606
kennel	580
kept	300
kerchief	515
kernel	542
kerosene	548
kettle	594
kevel	231
key	618
kick	551
kid	525
kill	481
kilt	622
kind	383
kindle	415
kindness	438
kine	264
king	585
kingdom	494
kink	480
kinsman	436
kiss	633
kite	624
kitten	639
knee	597
knew	267
knife	633
knight	608
knitting	578
knob	554
knoll	444
know	278
knowledge	348
known	310
knuckle	520
labour	424
labyrinth	453
lace	506
lack	302
lad	534
lady	571
lagan	190
laid	493
lain	328
lair	454
lake	616
lamb	614
lament	353
lamp	575
lancer	413
land	566
landscape	608
lane	543
lantern	575
lap	531
larch	508
lard	491
large	449
lark	573
larkspur	263
last	367
latch	464
late	387
latest	288
lathe	356
latter	256
laud	288
laugh	528
laughter	613
launder	432
laundry	559
law	409
lawful	307
lawn	608
lawyer	557
lax	363
lay	426
lazy	464
lead	488
leader	502
leaf	608
leaflet	534
leak	545
leal	280
lean	472
leap	494
learn	361
learning	370
lease	426
least	302
leather	586
lecture	564
lecturer	551
led	394
leek	540
lees	271
left	383
leg	601
legality	310
legendary	413
leghorn	262
legislation	367
legitimate	321
legume	473
lemon	632
lemonade	606
lend	327
length	395
lenient	375
lens	556
leopard	635
less	286
lessen	251
lesson	446
letter	595
lettuce	608
level	385
lever	515
levity	321
lewd	324
liar	425
liberty	392
library	587
lice	532
lichen	404
lie	385
lien	317
lieutenant	512
life	482
lift	482
light	542
lighter	458
lightning	599
like	352
likeable	383
liken	322
lily	541
limb	580
lime	563
limelight	480
limited	281
limn	206
limousine	595
limp	512
line	491
linen	551
link	481
links	454
lint	513
lion	626
lip	619
liquid	589
liquor	576
lire	326
lisp	464
listen	378
listless	359
liter	412
literal	261
literature	487
little	502
littoral	224
live	446
lively	429
liver	571
lizard	632
load	461
loafer	456
loan	430
lobby	462
lobster	630
lock	532
locker	569
lode	363
lodge	464
logic	294
logical	295
logos	288
lone	457
lonely	443
long	471
look	395
loon	348
loop	492
loose	397
loot	579
